"No.","Time","Source","Destination","Protocol","Length","Info"
"50","0.503261","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=30501 Win=4127 Len=0"
"51","0.531794","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"52","0.531852","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=31721 Win=4127 Len=0"
"53","0.561865","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"54","0.561920","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=32941 Win=4127 Len=0"
"55","0.563697","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"56","0.563751","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=34161 Win=4127 Len=0"
"57","0.593643","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"58","0.593707","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=35381 Win=4127 Len=0"
"59","0.599707","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"60","0.599769","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=36601 Win=4127 Len=0"
"61","0.633573","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"62","0.633623","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=37821 Win=4127 Len=0"
"63","0.643742","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"64","0.643809","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=39041 Win=4127 Len=0"
"65","0.666090","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"66","0.666154","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=40261 Win=4127 Len=0"
"67","0.677253","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"68","0.677319","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=41481 Win=4127 Len=0"
"69","0.677511","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"70","0.677557","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=42701 Win=4127 Len=0"
"71","0.686933","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"72","0.687000","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=43921 Win=4127 Len=0"
"73","0.703078","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"74","0.703138","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=45141 Win=4127 Len=0"
"75","0.784410","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"76","0.784459","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=46361 Win=4127 Len=0"
"77","0.800505","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"78","0.800552","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=47581 Win=4127 Len=0"
"79","0.824354","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"80","0.824434","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=48801 Win=4127 Len=0"
"81","0.829819","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"82","0.829883","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=50021 Win=4127 Len=0"
"83","0.902176","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"84","0.902236","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=51241 Win=4127 Len=0"
"85","0.930374","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TLSv1.2","1294","[TCP Retransmission] , Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"86","0.944052","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"87","0.944113","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=52461 Win=4127 Len=0"
"88","0.966425","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TCP","1294","443  >  55865 [ACK] Seq=52461 Ack=1 Win=631 Len=1220"
"89","0.966495","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=53681 Win=4127 Len=0"
"90","0.988479","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"91","0.988540","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=54901 Win=4127 Len=0"
"92","1.003666","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"93","1.003719","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=56121 Win=4127 Len=0"
"94","1.003843","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"95","1.003870","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=57341 Win=4127 Len=0"
"96","1.043839","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"97","1.043897","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=58561 Win=4127 Len=0"
"98","1.044037","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"99","1.044066","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=59781 Win=4127 Len=0"
"100","1.044999","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"101","1.045050","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=61001 Win=4127 Len=0"
"102","1.069906","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"103","1.069975","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=62221 Win=4127 Len=0"
"104","1.157075","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"105","1.157137","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=63441 Win=4127 Len=0"
"106","1.157266","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"107","1.157300","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=64661 Win=4127 Len=0"
"108","1.157422","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"109","1.157450","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=65881 Win=4127 Len=0"
"110","1.162867","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"111","1.162925","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=67101 Win=4127 Len=0"
"112","1.223406","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"113","1.223467","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=68321 Win=4127 Len=0"
"114","1.224074","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"115","1.224109","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=69541 Win=4127 Len=0"
"116","1.226902","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"117","1.226957","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=70761 Win=4127 Len=0"
"118","1.264347","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"119","1.264408","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=71981 Win=4127 Len=0"
"120","1.279400","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"121","1.279466","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=73201 Win=4127 Len=0"
"122","1.304938","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"123","1.304987","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=74421 Win=4127 Len=0"
"124","1.389176","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"125","1.389226","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=75641 Win=4127 Len=0"
"126","1.389335","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"127","1.389358","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=76861 Win=4127 Len=0"
"128","1.389457","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"129","1.389475","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=78081 Win=4127 Len=0"
"130","1.405322","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"131","1.405369","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=79301 Win=4127 Len=0"
"132","1.422321","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"133","1.422385","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=80521 Win=4127 Len=0"
"134","1.483099","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"135","1.483162","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=81741 Win=4127 Len=0"
"136","1.483311","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"137","1.483340","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=82961 Win=4127 Len=0"
"138","1.508297","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"139","1.508348","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=84181 Win=4127 Len=0"
"140","1.549797","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"141","1.549846","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=85401 Win=4127 Len=0"
"142","1.556073","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"143","1.556127","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=86621 Win=4127 Len=0"
"144","1.565025","2600:9000:2354:ce00:19:e3cb:f900:93a1","2409:4072:888:f276:6820:e57f:8fac:50de","TLSv1.2","1294","Ignored Unknown Record"
"145","1.565068","2409:4072:888:f276:6820:e57f:8fac:50de","2600:9000:2354:ce00:19:e3cb:f900:93a1","TCP","74","55865  >  443 [ACK] Seq=1221 Ack=87841 Win=4127 Len=0"
